,year,mon.day,date,river,bank,species,fish.count,comments,run_desc,run,maturity,proj.id,proj,count.type
98,2023,20-Sep,9/20/23,George River,Entire Channel,Chinook,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
99,2023,15-Jun,6/15/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
100,2023,16-Jun,6/16/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
101,2023,17-Jun,6/17/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
102,2023,18-Jun,6/18/23,George River,Entire Channel,Chum,0,partial,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
103,2023,19-Jun,6/19/23,George River,Entire Channel,Chum,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
104,2023,20-Jun,6/20/23,George River,Entire Channel,Chum,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
105,2023,21-Jun,6/21/23,George River,Entire Channel,Chum,2,partial,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
106,2023,22-Jun,6/22/23,George River,Entire Channel,Chum,0,partial,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
107,2023,23-Jun,6/23/23,George River,Entire Channel,Chum,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
108,2023,24-Jun,6/24/23,George River,Entire Channel,Chum,1,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
109,2023,25-Jun,6/25/23,George River,Entire Channel,Chum,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
110,2023,26-Jun,6/26/23,George River,Entire Channel,Chum,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
111,2023,27-Jun,6/27/23,George River,Entire Channel,Chum,0,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
112,2023,28-Jun,6/28/23,George River,Entire Channel,Chum,4,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
113,2023,29-Jun,6/29/23,George River,Entire Channel,Chum,16,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
114,2023,30-Jun,6/30/23,George River,Entire Channel,Chum,33,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
115,2023,1-Jul,7/1/23,George River,Entire Channel,Chum,24,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
116,2023,2-Jul,7/2/23,George River,Entire Channel,Chum,38,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
117,2023,3-Jul,7/3/23,George River,Entire Channel,Chum,17,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
118,2023,4-Jul,7/4/23,George River,Entire Channel,Chum,31,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
119,2023,5-Jul,7/5/23,George River,Entire Channel,Chum,19,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
120,2023,6-Jul,7/6/23,George River,Entire Channel,Chum,16,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
121,2023,7-Jul,7/7/23,George River,Entire Channel,Chum,22,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
122,2023,8-Jul,7/8/23,George River,Entire Channel,Chum,42,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
